GeneName	3 Cell-line mixture-Bulk	3 Cell-line mixture-Bulk 2
RP11-54O7.18	67.835	67.835
RNF223	1686.0	1686.0
C1orf159	3157.99953	3157.99953
LINC01342	2.0	2.0
MIR200B	0.0	0.0
MIR200A	0.0	0.0
MIR429	0.0	0.0
RP11-465B22.8	421.0	421.0
TTLL10-AS1	6.81804	6.81804
TTLL10	41.18188	41.18188
TNFRSF18	68.99999	68.99999
TNFRSF4	2.0	2.0
SDF4	21123.0048	21123.0048
B3GALT6	3338.0	3338.0
FAM132A	64.0	64.0
RP5-902P8.12	13.0	13.0
UBE2J2	7918.00430999999	7918.00430999999
RP5-902P8.10	63.99999	63.99999
SCNN1D	551.000399999999	551.000399999999
ACAP3	7177.47285	7177.47285
MIR6726	0.0	0.0
PUSL1	3043.5261	3043.5261
CPSF3L	9919.99668	9919.99668
MIR6727	0.0	0.0
RP5-890O3.9	160.0	160.0
CPTP	3446.99599	3446.99599
TAS1R3	61.0	61.0
DVL1	5340.0032	5340.0032
MIR6808	0.0	0.0
MXRA8	5161.00195	5161.00195
AURKAIP1	5948.00559	5948.00559
RP5-890O3.3	1.0	1.0
CCNL2	10853.00254	10853.00254
RP4-758J18.2	1370.41292	1370.41292
MRPL20	5065.59245	5065.59245
RN7SL657P	0.0	0.0
RP4-758J18.13	324.0	324.0
ANKRD65	11.0	11.0
RP4-758J18.7	1.0	1.0
TMEM88B	0.0	0.0
RP4-758J18.10	40.99997	40.99997
VWA1	4557.0014	4557.0014
ATAD3C	168.79981	168.79981
ATAD3B	2682.5747	2682.5747
ATAD3A	5084.62864	5084.62864
TMEM240	29.999996318	29.999996318
SSU72	9677.00321	9677.00321
RP5-832C2.5	43.0	43.0
AL645728.1	0.0	0.0
RP11-345P4.11	0.0	0.0
Metazoa_SRP	124.66411	124.66411
C1orf233	2686.0	2686.0
RP11-345P4.9	379.847	379.847
MIB2	2361.15426	2361.15426
MMP23B	56.0000567	56.0000567
CDK11B	6258.39266	6258.39266
RP11-345P4.10	13.2372	13.2372
SLC35E2B	8435.28819999999	8435.28819999999
RP11-345P4.7	47.6111	47.6111
RP11-345P4.6	5.72343	5.72343
MMP23A	0.0	0.0
CDK11A	2905.077842	2905.077842
RP1-283E3.8	526.231	526.231
RP1-283E3.4	168.0958	168.0958
SLC35E2	284.3565	284.3565
NADK	6371.99581	6371.99581
GNB1	36319.0029599999	36319.0029599999
RP1-140A9.1	7.0	7.0
CALML6	37.9999599999999	37.9999599999999
TMEM52	160.00003	160.00003
CFAP74	3.0	3.0
RP11-547D24.1	2.0	2.0
GABRD	72.0	72.0
RP11-547D24.3	0.0	0.0
PRKCZ	2489.97567	2489.97567
RP5-892K4.1	1.00109	1.00109
RP11-181G12.2	72.0	72.0
C1orf86	1835.02264999999	1835.02264999999
RP11-181G12.4	1.0	1.0
AL590822.1	0.0	0.0
SKI	6088.99691	6088.99691
MORN1	557.999579999999	557.999579999999
RP4-713A8.1	0.0	0.0
RP4-740C4.5	191.0000507564	191.0000507564
RP4-740C4.7	10.0	10.0
RER1	8624.94369999999	8624.94369999999
PEX10	1678.06684	1678.06684
PLCH2	130.00003	130.00003
RP3-395M20.2	0.0	0.0
RP3-395M20.3	1.0	1.0
PANK4	2324.99638	2324.99638
HES5	2.0	2.0
RP3-395M20.12	119.0	119.0
RP3-395M20.8	8.44903	8.44903
TNFRSF14	563.55057	563.55057
RP3-395M20.7	0.0	0.0
RP3-395M20.9	4.0	4.0
FAM213B	3873.53935	3873.53935
MMEL1	75.46502	75.46502
RP13-436F16.1	0.471862	0.471862
TTC34	9.52814	9.52814
RP11-740P5.2	0.0	0.0
RP11-740P5.3	0.0	0.0
ACTRT2	0.0	0.0
LINC00982	26.000015	26.000015
PRDM16	253.999579999999	253.999579999999
RP1-163G9.2	0.0	0.0
RP11-193J6.1	0.0	0.0
RP11-22L13.1	7.0	7.0
ARHGEF16	5162.99756999999	5162.99756999999
RP11-168F9.2	10.0	10.0
MEGF6	3548.0037	3548.0037
MIR551A	0.0	0.0
RP11-46F15.2	2.0	2.0
TPRG1L	3706.0	3706.0
WRAP73	2370.9977	2370.9977
TP73	1766.62509	1766.62509
RP5-1092A11.5	0.0	0.0
RP5-1092A11.2	0.0	0.0
TP73-AS1	1515.37389999999	1515.37389999999
CCDC27	0.0	0.0
SMIM1	71.99999	71.99999
LRRC47	4744.9524	4744.9524
RN7SL574P	1.0	1.0
RP1-286D6.5	43.0522	43.0522
CEP104	3758.00451	3758.00451
DFFB	634.99993	634.99993
C1orf174	2304.0041	2304.0041
LINC01134	24.99996	24.99996
LINC01346	0.0	0.0
RP13-614K11.2	0.0	0.0
EEF1DP6	0.0	0.0
RP5-1166F10.1	0.0	0.0
RP1-37J18.1	0.0	0.0
RP1-37J18.2	0.0	0.0
AJAP1	47.0	47.0
AL137795.1	0.0	0.0
RP11-542C10.1	0.0	0.0
RP1-58B11.1	0.0	0.0
MIR4417	0.0	0.0
RP11-154H17.1	0.0	0.0
AL356693.1	0.0	0.0
MIR4689	0.0	0.0
NPHP4	1714.33894492	1714.33894492
AL356261.1	0.0	0.0
KCNAB2	897.65741	897.65741
CHD5	641.99994	641.99994
RPL22	30145.4088	30145.4088
RP1-120G22.11	2.0	2.0
RNF207	806.99932	806.99932
ICMT	15521.0	15521.0
LINC00337	65.00001	65.00001
HES3	0.0	0.0
GPR153	1183.0	1183.0
ACOT7	4756.99594999999	4756.99594999999
RP1-202O8.3	0.0	0.0
HES2	383.0	383.0
ESPN	1317.08278	1317.08278
MIR4252	0.0	0.0
RP1-202O8.2	0.0	0.0
TNFRSF25	481.9179	481.9179
PLEKHG5	1225.99958402179	1225.99958402179
NOL9	1804.0	1804.0
RNU6-731P	0.0	0.0
RP11-58A11.2	4.0	4.0
TAS1R1	6.0	6.0
ZBTB48	912.001189999999	912.001189999999
KLHL21	2610.996	2610.996
PHF13	2681.0	2681.0
THAP3	735.049	735.049
DNAJC11	6108.93491	6108.93491
RP11-242F24.1	0.0	0.0
RP11-312B8.1	0.0	0.0
CAMTA1	2529.00057	2529.00057
RP11-312B8.2	0.0	0.0
RP11-334N17.1	0.0	0.0
RNU1-8P	0.0	0.0
Z98052.1	0.0	0.0
CAMTA1-IT1	0.0	0.0
RP3-453P22.2	0.0	0.0
RP4-549F15.1	0.0	0.0
RP11-338N10.1	0.0	0.0
RP11-338N10.2	3.0	3.0
RP11-338N10.3	8.0	8.0
VAMP3	7465.9982	7465.9982
RP3-467L1.6	12.0	12.0
PER3	5813.545	5813.545
RP3-467L1.4	40.4489	40.4489
UTS2	0.0	0.0
TNFRSF9	1.0	1.0
RP5-892F13.2	0.0	0.0
PARK7	11352.005	11352.005
Y_RNA	12.0	12.0
ERRFI1	8389.0022	8389.0022
RP11-431K24.1	16.0	16.0
CTA-215D11.4	4.11433	4.11433
RP11-431K24.2	1.0	1.0
RNU1-7P	0.0	0.0
RP11-431K24.3	2.0	2.0
RP11-431K24.4	0.0	0.0
RNU6-991P	0.0	0.0
SLC45A1	19.00003	19.00003
RERE	9011.99296	9011.99296
RP5-1115A15.1	2.0	2.0
SNORA77	0.0	0.0
RP5-1115A15.2	0.0	0.0
AL096855.1	0.0	0.0
RPL7P11	3.00037	3.00037
RPL7P7	0.0	0.0
RP4-633I8.3	0.0	0.0
RP4-633I8.4	0.0	0.0
RP11-185B14.1	0.0	0.0
ENO1	158484.28349	158484.28349
MIR6728	0.0	0.0
ENO1-IT1	5.0	5.0
ENO1-AS1	24.0961	24.0961
RNU6-304P	0.0	0.0
HMGN2P17	25.0053	25.0053
RP3-477M7.5	0.0	0.0
RP3-477M7.6	0.0	0.0
CA6	1.0	1.0
RN7SL451P	0.0	0.0
SLC2A7	0.0	0.0
SLC2A5	8.0	8.0
SCARNA16	2.72078	2.72078
AL158048.1	0.0	0.0
GPR157	1785.0016	1785.0016
MIR34A	0.0	0.0
RP3-510D11.1	6.7222	6.7222
RP3-510D11.2	65.2778	65.2778
H6PD	3467.004	3467.004
SPSB1	2069.9965	2069.9965
RNA5SP40	0.0	0.0
RP13-392I16.1	0.0	0.0
SLC25A33	1036.87	1036.87
RP13-15M17.1	2.0	2.0
TMEM201	2273.99975	2273.99975
PIK3CD	344.00036	344.00036
PIK3CD-AS1	0.0	0.0
RP11-558F24.2	0.0	0.0
PIK3CD-AS2	25.0	25.0
CLSTN1	19899.0341	19899.0341
MZT1P1	0.0	0.0
AL357140.1	0.0	0.0
CTNNBIP1	2949.99919999999	2949.99919999999
RP11-84A14.5	0.0	0.0
LZIC	1909.99896999999	1909.99896999999
RP11-84A14.4	3.0	3.0
NMNAT1	1147.52664	1147.52664
RN7SKP269	2.0	2.0
MIR5697	0.0	0.0
RP11-807G9.2	19.4737	19.4737
RBP7	52.0	52.0
UBE4B	8604.9942	8604.9942
RP11-496H15.2	0.0	0.0
PGAM1P11	0.0	0.0
RNU6-828P	0.0	0.0
KIF1B	9086.08063	9086.08063
MIR1273D	0.0	0.0
RNU6-37P	0.0	0.0
RN7SL731P	21.9306	21.9306
PGD	26410.9446	26410.9446
RP4-736L20.3	17.8056	17.8056
APITD1-CORT	131.0496	131.0496
APITD1	1237.89059	1237.89059
CORT	12.2549	12.2549
DFFA	5700.932	5700.932
RP5-1113E3.3	5.55352	5.55352
PEX14	2039.50763	2039.50763
RN7SL614P	0.0	0.0
CASZ1	5219.09334	5219.09334
RP4-734G22.3	139.909	139.909
HSPE1P24	0.0	0.0
C1orf127	8.99999	8.99999
CFL1P6	1.0	1.0
AL713997.1	0.0	0.0
TARDBP	20475.29459	20475.29459
MASP2	46.0	46.0
RP4-635E18.8	59.7042	59.7042
SRM	6857.9983	6857.9983
EXOSC10	7168.32546	7168.32546
RP4-635E18.7	31.6451	31.6451
RP4-635E18.6	23.0304	23.0304
MTOR	11002.0147	11002.0147
MTOR-AS1	0.0	0.0
RNU6-537P	0.0	0.0
ANGPTL7	0.0	0.0
RNU6-291P	0.0	0.0
RPL39P6	0.0	0.0
UBIAD1	2117.99593	2117.99593
UBE2V2P3	0.0	0.0
RP11-149P14.1	0.0	0.0
PTCHD2	179.0	179.0
RP1-69M21.2	0.0	0.0
FBXO2	540.98625	540.98625
FBXO44	1029.53762	1029.53762
FBXO6	359.47503	359.47503
MAD2L2	2215.99591	2215.99591
DRAXIN	29.0	29.0
AGTRAP	1673.00489002485	1673.00489002485
C1orf167	3.51536	3.51536
RP11-56N19.5	0.0	0.0
MTHFR	1366.49250999999	1366.49250999999
CLCN6	1470.501452	1470.501452
NPPA-AS1	52.8713999999999	52.8713999999999
NPPA-AS1_1	0.0	0.0
NPPA-AS1_2	0.0	0.0
NPPA	6.6168	6.6168
NPPA-AS1_3	0.0	0.0
NPPB	0.0	0.0
RP5-934G17.6	0.0	0.0
RNU5E-1	1.0	1.0
RNU5E-4P	0.0	0.0
KIAA2013	5618.99	5618.99
PLOD1	11069.99588	11069.99588
MFN2	10911.9548999999	10911.9548999999
RP5-1077B9.5	0.0	0.0
MIIP	1544.9992	1544.9992
MIR6729	0.0	0.0
RN7SL649P	1.0	1.0
TNFRSF8	3.0	3.0
RNU6-777P	0.0	0.0
RP11-426M1.2	0.0	0.0
MIR7846	0.0	0.0
TNFRSF1B	168.99997	168.99997
MIR4632	0.0	0.0
RP5-1118D24.2	0.0	0.0
SNORA70	1.0	1.0
VPS13D	6915.99988	6915.99988
AC243836.1	0.0	0.0
SNORA59A	0.0	0.0
RP5-888M10.2	1.0	1.0
DHRS3	1273.99741	1273.99741
RNU6ATAC18P	0.0	0.0
MIR6730	0.0	0.0
RP11-474O21.5	1.0	1.0
AADACL4	0.0	0.0
RP11-474O21.2	0.0	0.0
AADACL3	0.0	0.0
C1orf158	0.0	0.0
PRAMEF12	0.0	0.0
PRAMEF1	0.0	0.0
RP5-845O24.8	0.0	0.0
PRAMEF11	0.0	0.0
RP5-845O24.3	0.0	0.0
HNRNPCL1	1.52317	1.52317
PRAMEF2	0.0	0.0
PRAMEF4	0.0	0.0
PRAMEF10	0.0	0.0
PRAMEF7	0.0	0.0
RNU6-1072P	0.0	0.0
RP11-450I1.2	0.0	0.0
PRAMEF6	0.0	0.0
CH17-409J4.2	0.0	0.0
WI2-3308P17.2	0.0	0.0
PRAMEF25	0.0	0.0
PRAMEF26	0.0	0.0
HNRNPCL3	0.0	0.0
WI2-2994D6.1	0.0	0.0
RP13-221M14.4	0.0	0.0
HNRNPCL2	1.48335	1.48335
RP13-221M14.3	0.0	0.0
RP13-221M14.2	0.0	0.0
HNRNPCL4	0.0	0.0
CH17-228N4.2	0.0	0.0
PRAMEF18	0.0	0.0
RP11-450I1.4	0.0	0.0
PRAMEF5	0.0	0.0
RP11-219C24.8	0.0	0.0
RNU6-771P	0.0	0.0
PRAMEF8	0.0	0.0
PRAMEF9	0.0	0.0
RP11-219C24.6	0.0	0.0
RP11-219C24.10	0.0	0.0
PRAMEF14	0.0	0.0
PRAMEF19	0.0	0.0
PRAMEF17	0.0	0.0
PRAMEF20	1.0	1.0
LRRC38	0.0	0.0
RP4-597A16.2	0.0	0.0
RP4-597A16.3	0.0	0.0
PDPN	13.000050662207	13.000050662207
RNA5SP41	0.0	0.0
AL359771.1	0.0	0.0
CTA-520D8.2	0.0	0.0
SCARNA11	0.0	0.0
PRDM2	7026.99452	7026.99452
RNU6-1265P	0.0	0.0
RP11-344F13.1	0.0	0.0
RP4-704D23.1	0.0	0.0
KAZN	2280.367	2280.367
AL034395.1	0.0	0.0
TBCAP2	0.0	0.0
TMEM51-AS1	590.6299	590.6299
TMEM51	1264.0004	1264.0004
C1orf195	0.0	0.0
RP1-21O18.3	0.0	0.0
RP5-903E17.2	1.0	1.0
FHAD1	44.0584769	44.0584769
RP3-467K16.2	0.941583	0.941583
RP3-467K16.7	0.0	0.0
RP3-467K16.4	3.0	3.0
EFHD2	3631.0045	3631.0045
CTRC	3.0	3.0
CELA2A	0.0	0.0
CELA2B	1.0	1.0
CASP9	917.0002	917.0002
DNAJC16	1999.99538999999	1999.99538999999
SCARNA21	0.0	0.0
RP4-680D5.8	2.0	2.0
AGMAT	411.0	411.0
RP4-680D5.2	21.0	21.0
CHCHD2P6	236.765	236.765
RNU7-179P	0.0	0.0
RP4-680D5.4	0.0	0.0
DDI2	7340.75213	7340.75213
RSC1A1	1140.25	1140.25
RP4-680D5.9	0.0	0.0
PLEKHM2	6185.857	6185.857
AL121992.1	0.0	0.0
RP11-288I21.1	8.14332999999999	8.14332999999999
SLC25A34	32.0	32.0
RP11-169K16.4	0.0	0.0
TMEM82	0.0	0.0
FBLIM1	2840.99786999999	2840.99786999999
RP11-169K16.6	7.62581	7.62581
UQCRHL	1371.63	1371.63
RP11-169K16.8	45.2976	45.2976
FLJ37453	249.0	249.0
SPEN	15433.9959	15433.9959
RP1-134O19.3	0.0	0.0
ZBTB17	2022.00415	2022.00415
RP11-5P18.1	0.0	0.0
RP11-5P18.3	0.0	0.0
RP11-5P18.11	0.0	0.0
TBC1D3P6	0.0	0.0
C1orf64	13.0	13.0
RP11-5P18.5	0.0	0.0
HSPB7	7447.00001	7447.00001
CLCNKA	48.99998	48.99998
RP11-5P18.10	6.38286	6.38286
CLCNKB	0.0	0.0
FAM131C	85.6171	85.6171
EPHA2	4684.00232	4684.00232
RP11-276H7.2	46.0	46.0
RP11-276H7.3	6.0	6.0
ARHGEF19-AS1	0.0	0.0
ARHGEF19	2268.00089999999	2268.00089999999
ANO7P1	18.99999	18.99999
RSG1	254.9996	254.9996
MT1XP1	0.0	0.0
FBXO42	2456.00188999999	2456.00188999999
SZRD1	16657.14064	16657.14064
RP11-430L17.1	0.0	0.0
SPATA21	4.86183	4.86183
AL358794.1	0.0	0.0
NECAP2	3513.99749	3513.99749
RP4-798A10.2	34.8118	34.8118
CROCCP3	157.95658	157.95658
RNU1-1	13.74023	13.74023
RP4-798A10.7	121.0	121.0
RP4-798A10.4	0.0	0.0
RP5-875O13.1	5.12482	5.12482
U1	23.25	23.25
FAM231C	0.0	0.0
RP5-875O13.6	0.0	0.0
AL355149.1	0.0	0.0
NBPF1	12561.7933	12561.7933
RP5-1182A14.5	4.0	4.0
CROCCP2	1511.67899999999	1511.67899999999
MST1P2	141.588	141.588
RNU1-3	6.80784	6.80784
FAM231A	0.0	0.0
RP5-875O13.7	3.02102	3.02102
AL021920.1	0.0	0.0
EIF1AXP1	522.273	522.273
ESPNP	14.0	14.0
RP1-163M9.7	0.0	0.0
CROCC	983.555889999999	983.555889999999
RNU1-4	6.80766	6.80766
CROCCP4	0.0	0.0
MST1L	39.93008	39.93008
RP11-108M9.1	0.0	0.0
RP11-108M9.2	0.0	0.0
MIR3675	0.0	0.0
RP11-108M9.3	7.87518	7.87518
RP11-108M9.4	2.0	2.0
RP11-108M9.5	0.0	0.0
RNU1-2	6.93232	6.93232
RP11-108M9.6	1.0	1.0
MFAP2	591.999889999999	591.999889999999
RP1-37C10.3	12.2942	12.2942
ATP13A2	6688.70985	6688.70985
SDHB	6933.00488999999	6933.00488999999
PADI2	18575.0284	18575.0284
RP11-380J14.1	197.0	197.0
PADI1	326.99974	326.99974
PADI3	328.0	328.0
MIR3972	0.0	0.0
PADI4	13.00002	13.00002
AC004824.2	0.0	0.0
PADI6	0.0	0.0
RP1-20B21.4	17.8269	17.8269
RCC2	23129.13742	23129.13742
AC004824.1	0.0	0.0
ARHGEF10L	2069.99555	2069.99555
RP11-473A10.2	0.0	0.0
AL136529.1	0.0	0.0
ACTL8	82.0	82.0
RP11-174G17.2	0.0	0.0
IGSF21	0.0	0.0
RP11-174G17.3	0.0	0.0
RP11-174G17	0.0	0.0
RP11-422P22.1	0.0	0.0
KLHDC7A	43.0	43.0
DYNLL1P3	0.0	0.0
RP1-8B22.2	0.0	0.0
PAX7	1147.00319999999	1147.00319999999
TAS1R2	0.0	0.0
RP13-279N23.2	4.04026	4.04026
ALDH4A1	3146.9148	3146.9148
MIR4695	0.0	0.0
MIR1290	0.0	0.0
IFFO2	4119.04199999999	4119.04199999999
RP5-1126H10.2	31.6237	31.6237
UBR4	21507.38388	21507.38388
RP1-43E13.2	15.5085	15.5085
EMC1	6485.49777	6485.49777
MRTO4	4976.002	4976.002
AKR7L	49.28124	49.28124
AKR7A3	43.7817	43.7817
RP4-657E11.10	23.0	23.0
AKR7A2	3670.9372	3670.9372
RNU6-1099P	0.0	0.0
PQLC2	1028.00059999999	1028.00059999999
CAPZB	18651.9649999999	18651.9649999999
RN7SL277P	0.0	0.0
RNU4-28P	0.0	0.0
RP5-1056L3.1	0.0	0.0
MINOS1	1997.46016999999	1997.46016999999
MINOS1-NBL1	144.4859	144.4859
RP5-1056L3.3	4.00017	4.00017
NBL1	4465.05721	4465.05721
HTR6	7.0	7.0
TMCO4	1202.99991	1202.99991
RNF186	0.0	0.0
RP11-91K11.2	0.0	0.0
OTUD3	1700.0	1700.0
PLA2G2E	0.0	0.0
RN7SL304P	0.0	0.0
PLA2G2A	37.9999838075	37.9999838075
PLA2G5	4.0	4.0
PLA2G2D	0.0	0.0
PLA2G2F	23.0	23.0
RP3-340N1.2	39.0	39.0
PLA2G2C	0.0	0.0
UBXN10-AS1	0.0	0.0
UBXN10	1.0	1.0
RP3-340N1.6	0.0	0.0
VWA5B1	0.0	0.0
RP4-745E8.2	0.0	0.0
LINC01141	0.0	0.0
RP4-749H3.2	0.0	0.0
CAMK2N1	7082.998	7082.998
MUL1	1880.0	1880.0
RPS4XP4	0.0	0.0
FAM43B	2.0	2.0
CDA	48.0	48.0
PINK1	6070.9072	6070.9072
MIR6084	0.0	0.0
PINK1-AS	748.671	748.671
DDOST	18917.4511	18917.4511
KIF17	36.000084	36.000084
RP5-930J4.5	0.0	0.0
SH2D5	214.000249999999	214.000249999999
RP5-930J4.2	0.0	0.0
HP1BP3	21305.9724	21305.9724
EIF4G3	7421.0046	7421.0046
RNU7-200P	0.0	0.0
MIR1256	0.0	0.0
RPS15AP6	0.0	0.0
RP11-487E1.2	0.0	0.0
HSPE1P27	0.0	0.0
ECE1	13763.9877699999	13763.9877699999
RP3-329E20.2	1.0	1.0
RP5-1071N3.1	1.0456	1.0456
PPP1R11P1	1.01817	1.01817
RP11-293F5.8	0.0	0.0
RP11-293F5.1	0.0	0.0
NBPF2P	13.4999	13.4999
HS6ST1P1	131.425	131.425
CROCCP5	0.0	0.0
NBPF3	1983.89999	1983.89999
PFN1P10	1.60854	1.60854
ALPL	14.000001	14.000001
RP11-63N8.3	0.0	0.0
AL359815.1	0.0	0.0
RAP1GAP	1331.99949	1331.99949
USP48	5468.99682	5468.99682
U7	0.0	0.0
RP11-132G19.3	0.0	0.0
LDLRAD2	59.79492	59.79492
HSPG2	8971.20108999999	8971.20108999999
RP11-26H16.1	0.0	0.0
CELA3B	0.0	0.0
RNU6-1022P	0.0	0.0
CELA3A	0.0	0.0
RNU6-776P	0.0	0.0
RP1-224A6.3	1.0	1.0
LINC00339	546.9999	546.9999
CDC42	18526.564	18526.564
CDC42-IT1	0.0	0.0
RP1-224A6.8	0.0	0.0
RP1-224A6.9	2.0	2.0
WNT4	420.99974	420.99974
MIR4418	0.0	0.0
RP11-415K20.1	0.0	0.0
RP11-415K20.2	0.0	0.0
ZBTB40	3488.995	3488.995
ZBTB40-IT1	4.0	4.0
EPHA8	6.0	6.0
AL158086.1	0.0	0.0
C1QA	0.0	0.0
C1QC	0.0	0.0
C1QB	0.0	0.0
EPHB2	4654.00171999999	4654.00171999999
MIR4684	0.0	0.0
AL611946.1	0.0	0.0
RP11-69E9.1	0.0	0.0
MIR4253	0.0	0.0
LACTBL1	0.0	0.0
C1orf234	0.0	0.0
KDM1A	15783.996	15783.996
RP1-184J9.2	0.0	0.0
MIR3115	0.0	0.0
MIR4419A	0.0	0.0
LUZP1	8867.0013	8867.0013
RP5-979D14.1	0.0	0.0
RNU6-514P	0.0	0.0
RNU6-135P	0.0	0.0
HTR1D	111.0	111.0
RP5-1057J7.1	0.0	0.0
LINC01355	96.0	96.0
HNRNPR	35745.73256	35745.73256
ZNF436	3937.0	3937.0
ZNF436-AS1	235.00018	235.00018
RP5-1057J7.7	1.0	1.0
TCEA3	472.00017	472.00017
RP4-654C18.1	0.0	0.0
ASAP3	1767.99492	1767.99492
E2F2	5665.0017	5665.0017
RP1-150O5.3	16.0	16.0
ID3	10600.9949999999	10600.9949999999
MDS2	0.0	0.0
RP11-223J15.2	0.0	0.0
RPL11	79214.0272	79214.0272
RP5-886K2.1	1.0	1.0
TCEB3	14343.1979	14343.1979
TCEB3-AS1	292.80187	292.80187
PITHD1	6310.0025	6310.0025
LYPLA2	7777.87907	7777.87907
GALE	3939.00414	3939.00414
HMGCL	1833.00096999999	1833.00096999999
FUCA1	2496.0	2496.0
CNR2	2.0	2.0
RP11-4M23.2	0.0	0.0
RP11-4M23.3	0.0	0.0
MIR378F	0.0	0.0
RP11-4M23.4	0.0	0.0
PNRC2	16727.9717	16727.9717
SRSF10	16227.0061	16227.0061
RP11-4M23.7	0.0	0.0
RP11-293P20.2	0.0	0.0
MYOM3	47.0	47.0
RP11-293P20.4	0.0	0.0
IL22RA1	198.0	198.0
IFNLR1	556.000112	556.000112
RP11-10N16.2	2.0	2.0
AL590683.1	0.0	0.0
AL590683.2	0.0	0.0
RP11-10N16.3	0.0	0.0
GRHL3	3909.99531	3909.99531
STPG1	1221.33541999999	1221.33541999999
NIPAL3	4034.6594	4034.6594
RCAN3	3748.5121	3748.5121
RP4-594I10.3	137.488	137.488
NCMAP	103.0	103.0
RP11-496D1.2	0.0	0.0
SRRM1	21207.5157999999	21207.5157999999
CLIC4	31081.22426	31081.22426
RNU6-1208P	0.0	0.0
RUNX3	1659.9971	1659.9971
MIR6731	0.0	0.0
RP11-84D1.1	2.0	2.0
RP11-84D1.2	0.0	0.0
MIR4425	0.0	0.0
RP4-799D16.1	0.0	0.0
RP4-781L3.1	0.0	0.0
RP4-706G24.1	0.0	0.0
SYF2	4177.995	4177.995
RSRP1	5301.55338	5301.55338
RP3-465N24.6	6.0	6.0
RP3-465N24.5	14.2719	14.2719
RHD	18.99082	18.99082
SDHDP6	7.61584	7.61584
RP11-335G20.7	0.0	0.0
TMEM50A	11736.16406	11736.16406
RHCE	27.00923	27.00923
RP3-469D22.1	32.266	32.266
TMEM57	5012.9972	5012.9972
LDLRAP1	6661.00116999999	6661.00116999999
RP11-70P17.1	22.0	22.0
MAN1C1	817.00083	817.00083
RP1-187B23.1	0.0	0.0
SEPN1	10300.38	10300.38
RP1-317E23.6	2.13913	2.13913
RP1-317E23.3	89.42351	89.42351
MTFR1L	4073.5117	4073.5117
RP1-317E23.7	0.0	0.0
AUNIP	2299.546	2299.546
RP1-125I3.2	41.596	41.596
PAQR7	845.404	845.404
STMN1	65813.02	65813.02
SNRPFP2	1.0	1.0
RP1-125I3.4	0.0	0.0
MIR3917	0.0	0.0
